Match #, Date, Home Team, Away Team
1,"March 22, 2025",Kolkata Knight Riders,Royal Challengers Bengaluru
2,"March 23, 2025",Sunrisers Hyderabad,Rajasthan Royals
3,"March 23, 2025",Chennai Super Kings,Mumbai Indians
4,"March 24, 2025",Delhi Capitals,Lucknow Super Giants
5,"March 25, 2025",Gujarat Titans,Punjab Kings
6,"March 26, 2025",Rajasthan Royals,Kolkata Knight Riders
7,"March 27, 2025",Sunrisers Hyderabad,Lucknow Super Giants
8,"March 28, 2025",Chennai Super Kings,Royal Challengers Bengaluru
9,"March 29, 2025",Gujarat Titans,Mumbai Indians
10,"March 30, 2025",Delhi Capitals,Sunrisers Hyderabad
11,"March 30, 2025",Rajasthan Royals,Chennai Super Kings
12,"March 31, 2025",Mumbai Indians,Kolkata Knight Riders
13,"April 1, 2025",Lucknow Super Giants,Punjab Kings
14,"April 2, 2025",Royal Challengers Bengaluru,Gujarat Titans
15,"April 3, 2025",Kolkata Knight Riders,Sunrisers Hyderabad
16,"April 4, 2025",Lucknow Super Giants,Mumbai Indians
17,"April 5, 2025",Chennai Super Kings,Delhi Capitals
18,"April 5, 2025",Punjab Kings,Rajasthan Royals
19,"April 6, 2025",Kolkata Knight Riders,Lucknow Super Giants
20,"April 6, 2025",Sunrisers Hyderabad,Gujarat Titans
21,"April 7, 2025",Mumbai Indians,Royal Challengers Bengaluru
22,"April 8, 2025",Punjab Kings,Chennai Super Kings
23,"April 9, 2025",Gujarat Titans,Rajasthan Royals
24,"April 10, 2025",Royal Challengers Bengaluru,Delhi Capitals
25,"April 11, 2025",Chennai Super Kings,Kolkata Knight Riders
26,"April 12, 2025",Lucknow Super Giants,Gujarat Titans
27,"April 12, 2025",Sunrisers Hyderabad,Punjab Kings
28,"April 13, 2025",Rajasthan Royals,Royal Challengers Bengaluru
29,"April 13, 2025",Delhi Capitals,Mumbai Indians
30,"April 14, 2025",Lucknow Super Giants,Chennai Super Kings
31,"April 15, 2025",Punjab Kings,Kolkata Knight Riders
32,"April 16, 2025",Delhi Capitals,Rajasthan Royals
33,"April 17, 2025",Mumbai Indians,Sunrisers Hyderabad
34,"April 18, 2025",Royal Challengers Bengaluru,Punjab Kings
35,"April 19, 2025",Gujarat Titans,Delhi Capitals
36,"April 19, 2025",Rajasthan Royals,Lucknow Super Giants
37,"April 20, 2025",Punjab Kings,Royal Challengers Bengaluru
38,"April 20, 2025",Mumbai Indians,Chennai Super Kings
39,"April 21, 2025",Kolkata Knight Riders,Gujarat Titans
40,"April 22, 2025",Lucknow Super Giants,Delhi Capitals
41,"April 23, 2025",Sunrisers Hyderabad,Mumbai Indians
42,"April 24, 2025",Royal Challengers Bengaluru,Rajasthan Royals
43,"April 25, 2025",Chennai Super Kings,Sunrisers Hyderabad
44,"April 26, 2025",Kolkata Knight Riders,Punjab Kings
45,"April 27, 2025",Mumbai Indians,Lucknow Super Giants
46,"April 27, 2025",Delhi Capitals,Royal Challengers Bengaluru
47,"April 28, 2025",Rajasthan Royals,Gujarat Titans
48,"April 29, 2025",Delhi Capitals,Kolkata Knight Riders
49,"April 30, 2025",Chennai Super Kings,Punjab Kings
50,"May 1, 2025",Rajasthan Royals,Mumbai Indians
51,"May 2, 2025",Gujarat Titans,Sunrisers Hyderabad
52,"May 3, 2025",Royal Challengers Bengaluru,Chennai Super Kings
53,"May 4, 2025",Kolkata Knight Riders,Rajasthan Royals
54,"May 4, 2025",Punjab Kings,Lucknow Super Giants
55,"May 5, 2025",Sunrisers Hyderabad,Delhi Capitals
56,"May 6, 2025",Mumbai Indians,Gujarat Titans
57,"May 7, 2025",Kolkata Knight Riders,Chennai Super Kings
58,"May 17, 2025",Royal Challengers Bengaluru,Kolkata Knight Riders
59,"May 18, 2025",Rajasthan Royals,Punjab Kings
60,"May 18, 2025",Delhi Capitals,Gujarat Titans
61,"May 19, 2025",Lucknow Super Giants,Sunrisers Hyderabad
62,"May 20, 2025",Chennai Super Kings,Rajasthan Royals
63,"May 21, 2025",Mumbai Indians,Delhi Capitals
64,"May 22, 2025",Gujarat Titans,Lucknow Super Giants
65,"May 23, 2025",Royal Challengers Bengaluru,Sunrisers Hyderabad
66,"May 24, 2025",Punjab Kings,Delhi Capitals
67,"May 25, 2025",Gujarat Titans,Chennai Super Kings
68,"May 25, 2025",Sunrisers Hyderabad,Kolkata Knight Riders
69,"May 26, 2025",Punjab Kings,Mumbai Indians
70,"May 27, 2025",Lucknow Super Giants,Royal Challengers Bengaluru
71,"May 29, 2025",Punjab Kings,Royal Challengers Bengaluru
72,"May 30, 2025",Gujarat Titans,Mumbai Indians
73,"June 1, 2025",Punjab Kings,Mumbai Indians